"city";"country";"nbArtists";"latitude";"longitude"
"texarkana";"united states";"1";"33.44179";"-94.03769"
"bebington";"united kingdom";"1";"53.35";"-3.01667"
"forrest city";"united states";"1";"35.00815";"-90.78983"
"natchez";"united states";"1";"31.56017";"-91.40329"
"fernie";"canada";"1";"49.49996";"-115.06871"
"el dorado";"united states";"1";"33.20763";"-92.66627"
"teddington";"united kingdom";"1";"51.42233";"-0.33053"
"pierrefonds";"france";"1";"49.34878";"2.9779"
"odense";"denmark";"1";"55.39594";"10.38831"
"bellingham";"united states";"1";"48.75955";"-122.48822"
"gijón";"spain";"1";"43.53573";"-5.66152"
"bietigheim-bissingen";"germany";"1";"48.94407";"9.11755"
"seguin";"united states";"1";"29.56884";"-97.96473"
"waterlooville";"united kingdom";"1";"50.88067";"-1.0304"
"chillicothe";"united states";"1";"39.33312";"-82.9824"
"kalamazoo";"united states";"1";"42.29171";"-85.58723"
"geel";"belgium";"1";"51.16557";"4.98917"
"coatepec";"mexico";"1";"18.66754";"-98.55987"
"bathurst";"canada";"1";"47.61814";"-65.65112"
"iowa city";"united states";"1";"41.66113";"-91.53017"
"necton";"united kingdom";"1";"52.64994";"0.77539"
"gloucester";"united kingdom";"1";"51.86568";"-2.2431"
"santo antônio de jesus";"brazil";"1";"-12.96889";"-39.26139"
"orpington";"united kingdom";"1";"51.37457";"0.09785"
"walton-on-thames";"united kingdom";"1";"51.38678";"-0.41319"
"delft";"netherlands";"1";"52.00667";"4.35556"
"forlì";"italy";"1";"44.22177";"12.04144"
"wallasey";"united kingdom";"1";"53.42324";"-3.06497"
"issy-les-moulineaux";"france";"1";"48.82104";"2.27718"
"tryon";"united states";"1";"35.33986";"-81.32203"
"rothenburg ob der tauber";"germany";"1";"49.37885";"10.18711"
"burnaby";"canada";"1";"49.26636";"-122.95263"
"hempstead";"united states";"1";"40.70621";"-73.61874"
"bonheiden";"belgium";"1";"51.02261";"4.54714"
"centerville";"united states";"1";"41.64872";"-70.34808"
"timmins";"canada";"1";"48.46686";"-81.33312"
"nieppe";"france";"1";"50.70425";"2.83506"
"tuskegee";"united states";"1";"32.42415";"-85.69096"
"ystrad mynach";"united kingdom";"1";"51.64276";"-3.2362"
"rock island";"united states";"1";"41.50948";"-90.57875"
"inverness";"united states";"1";"32.01488";"-85.74606"
"marksville";"united states";"1";"31.12797";"-92.06624"
"hahira";"united states";"1";"30.99131";"-83.37266"
"auckland";"new zealand";"1";"-36.84853";"174.76349"
"morden";"canada";"1";"49.1919";"-98.10136"
"hénin-beaumont";"france";"1";"50.41359";"2.96485"
"williams";"united states";"1";"42.21873";"-123.27394"
"amory";"united states";"1";"33.98428";"-88.4881"
"burbank";"united states";"1";"41.73392";"-87.7795"
"ermelo";"south africa";"1";"-26.53333";"29.98333"
"miami beach";"united states";"1";"25.79065";"-80.13005"
"bluefield";"united states";"1";"37.26984";"-81.22232"
"west allis";"united states";"1";"43.01668";"-88.00703"
"carrick-on-suir";"ireland";"1";"52.34917";"-7.41306"
"santa fe";"argentina";"1";"-31.64881";"-60.70868"
"valparaíso";"chile";"1";"-33.036";"-71.62963"
"quebec";"canada";"1";"46.81228";"-71.21454"
"masterton";"new zealand";"1";"-40.95972";"175.6575"
"winona";"united states";"1";"44.04996";"-91.63932"
"bremerhaven";"germany";"1";"53.53615";"8.59298"
"torrance";"united states";"1";"33.83585";"-118.34063"
"oneonta";"united states";"1";"42.45286";"-75.06377"
"lebanon";"united states";"1";"37.6806";"-92.66379"
"pawnee city";"united states";"1";"40.10833";"-96.15445"
"eversley";"united kingdom";"1";"51.35387";"-0.88888"
"faenza";"italy";"1";"44.29007";"11.87948"
"aalborg";"denmark";"1";"57.048";"9.9187"
"bagneux";"france";"1";"48.79565";"2.30796"
"victoria";"canada";"1";"48.4359";"-123.35155"
"new braunfels";"united states";"1";"29.703";"-98.12445"
"lisbon";"portugal";"1";"38.71667";"-9.13333"
"bega";"australia";"1";"-36.67392";"149.84178"
"auburn";"united states";"1";"42.19454";"-71.83563"
"benešov";"czech republic";"1";"49.78162";"14.68697"
